university,status,documents,candidate_documents,raw_tables,results,programs,grade_results,minimum_confidence
가톨릭대학교(성심),grade_available,2,2,39,84,46,23,0.55
강원대학교(강릉),no_candidate_pdf,0,0,0,0,0,0,
강원대학교(원주),no_candidate_pdf,0,0,0,0,0,0,
건국대학교(서울),grade_available,2,2,1,21,21,1,0.78
경상국립대학교,results_without_grade,1,1,3,34,34,0,0.78
경희대학교(국제),grade_available,2,2,8,90,77,3,0.55
경희대학교(서울),grade_available,2,2,8,90,77,3,0.55
계명대학교,no_candidate_pdf,0,0,0,0,0,0,
광운대학교,grade_available,2,2,4,24,18,8,0.78
국립공주대학교,grade_available,2,2,7,2,1,2,0.88
대진대학교,grade_available,2,2,2,49,48,9,0.55
덕성여자대학교,grade_available,2,2,15,5,5,3,0.55
동명대학교,grade_available,2,2,2,103,72,34,0.55
동양대학교(북서울),no_candidate_pdf,0,0,0,0,0,0,
명지대학교(서울),grade_available,2,2,5,34,34,33,0.78
명지대학교(용인),grade_available,2,2,5,34,34,33,0.78
부산대학교,grade_available,2,2,6,31,29,8,0.78
서강대학교,grade_available,2,2,3,30,16,14,0.78
서경대학교,grade_available,2,2,2,10,10,7,0.97
서울대학교,no_candidate_pdf,0,0,0,0,0,0,
서울시립대학교,candidate_not_extracted,1,1,1,0,0,0,
서울신학대학교,results_without_grade,2,2,2,21,12,0,0.55
서울여자대학교,grade_available,2,2,16,39,36,2,0.55
성결대학교,grade_available,2,2,3,57,51,17,0.55
성공회대학교,grade_available,1,1,2,4,2,2,0.78
성균관대학교,candidate_not_extracted,1,1,0,0,0,0,
세종대학교,grade_available,2,2,2,39,34,38,0.78
수원대학교,grade_available,2,2,2,25,18,8,0.55
숭실대학교,results_without_grade,2,2,20,39,27,0,0.55
신한대학교(동두천),grade_available,2,2,2,22,15,8,0.78
신한대학교(의정부),results_without_grade,2,2,2,14,14,0,0.78
아주대학교,results_without_grade,2,2,56,11,11,0,0.55
안양대학교(안양),results_without_grade,2,2,4,4,4,0,0.55
연세대학교(서울),no_candidate_pdf,0,0,0,0,0,0,
용인대학교,results_without_grade,2,2,11,122,66,0,0.78
원광대학교,grade_available,1,1,4,19,16,6,0.55
을지대학교(성남),grade_available,2,2,6,16,13,2,0.78
을지대학교(의정부),grade_available,2,2,6,16,13,2,0.78
인천대학교,no_candidate_pdf,0,0,0,0,0,0,
인하대학교,candidate_not_extracted,1,1,0,0,0,0,
중앙대학교(다빈치),results_without_grade,2,2,1,3,3,0,0.78
중앙대학교(서울),results_without_grade,2,2,1,3,3,0,0.78
충남대학교,candidate_not_extracted,1,1,0,0,0,0,
한국공학대학교,results_without_grade,2,2,2,44,44,0,0.55
한국교통대학교(의왕),grade_available,2,2,2,46,46,44,0.98
한국기술교육대학교,grade_available,2,2,6,78,29,34,0.55
한국항공대학교,no_candidate_pdf,0,0,0,0,0,0,
한라대학교,no_candidate_pdf,0,0,0,0,0,0,
한성대학교,no_candidate_pdf,0,0,0,0,0,0,
한세대학교,grade_available,1,1,1,22,9,16,0.55
한신대학교,grade_available,2,2,2,21,12,4,0.78
한양대학교(ERICA),results_without_grade,2,2,15,45,36,0,0.55
한양대학교(서울),no_candidate_pdf,0,0,0,0,0,0,
